Dataset,Initial Algorithm,Removal Heuristic,Insertion Algorithm,Optimal Value,Average Processing Time
eil51.tsp,Christofides_Algorithm,Shaw_Removal,Nearest_Insertion,1602,0.00447166
eil51.tsp,Christofides_Algorithm,Shaw_Removal,Random_Insertion,1498,0.0039994
eil51.tsp,Christofides_Algorithm,Shaw_Removal,farthest_insertion,1614,0.004473782
eil51.tsp,Christofides_Algorithm,Related_Removal,Basic_Insertion,1568,0.004265118
eil51.tsp,Christofides_Algorithm,Related_Removal,Regret_2_Heuristic,1669,0.004302287
eil51.tsp,Christofides_Algorithm,Related_Removal,Regret_3_Heuristic,1573,0.004325724
eil51.tsp,Christofides_Algorithm,Related_Removal,Regret_N_Heuristic,1571,0.004359722
eil51.tsp,Christofides_Algorithm,Related_Removal,Greedy_Insertion,1495,0.004298496
eil51.tsp,Christofides_Algorithm,Related_Removal,Best_Insertion,1471,0.004269433
eil51.tsp,Christofides_Algorithm,Related_Removal,Cheapest_Insertion,1557,0.004302073
eil51.tsp,Christofides_Algorithm,Related_Removal,Nearest_Insertion,1425,0.00440352
eil51.tsp,Christofides_Algorithm,Related_Removal,Random_Insertion,1702,0.003986311
eil51.tsp,Christofides_Algorithm,Related_Removal,farthest_insertion,1692,0.004396224
eil51.tsp,Christofides_Algorithm,Route_Based_Removal,Basic_Insertion,1703,0.004107904
eil51.tsp,Christofides_Algorithm,Route_Based_Removal,Regret_2_Heuristic,1549,0.004110193
eil51.tsp,Christofides_Algorithm,Route_Based_Removal,Regret_3_Heuristic,1591,0.004160476
eil51.tsp,Christofides_Algorithm,Route_Based_Removal,Regret_N_Heuristic,1638,0.004153919
eil51.tsp,Christofides_Algorithm,Route_Based_Removal,Greedy_Insertion,1485,0.00417788
eil51.tsp,Christofides_Algorithm,Route_Based_Removal,Best_Insertion,1548,0.004161119
eil51.tsp,Christofides_Algorithm,Route_Based_Removal,Cheapest_Insertion,1623,0.004098725
eil51.tsp,Christofides_Algorithm,Route_Based_Removal,Nearest_Insertion,1578,0.00419848
eil51.tsp,Christofides_Algorithm,Route_Based_Removal,Random_Insertion,1615,0.003823495
eil51.tsp,Christofides_Algorithm,Route_Based_Removal,farthest_insertion,1488,0.004366398
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Random_Removal,Basic_Insertion,1281,0.003731322
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Random_Removal,Regret_2_Heuristic,1272,0.003829312
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Random_Removal,Regret_3_Heuristic,1273,0.003812909
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Random_Removal,Regret_N_Heuristic,1271,0.003804708
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Random_Removal,Greedy_Insertion,1270,0.00373652
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Random_Removal,Best_Insertion,1271,0.003846478
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Random_Removal,Cheapest_Insertion,1258,0.003823709
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Random_Removal,Nearest_Insertion,1270,0.003959203
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Random_Removal,Random_Insertion,1272,0.003376985
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Random_Removal,farthest_insertion,1283,0.003915906
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Worst_Removal,Basic_Insertion,1308,0.004021406
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Worst_Removal,Regret_2_Heuristic,1308,0.00400188
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Worst_Removal,Regret_3_Heuristic,1308,0.004023886
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Worst_Removal,Regret_N_Heuristic,1308,0.004064989
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Worst_Removal,Greedy_Insertion,1308,0.00396471
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Worst_Removal,Best_Insertion,1308,0.004039383
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Worst_Removal,Cheapest_Insertion,1308,0.003986216
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Worst_Removal,Nearest_Insertion,1308,0.004131794
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Worst_Removal,Random_Insertion,1308,0.00367732
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Worst_Removal,farthest_insertion,1308,0.004143906
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Shaw_Removal,Basic_Insertion,1258,0.003915119
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Shaw_Removal,Regret_2_Heuristic,1258,0.003907514
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Shaw_Removal,Regret_3_Heuristic,1273,0.003935504
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Shaw_Removal,Regret_N_Heuristic,1281,0.004051995
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Shaw_Removal,Greedy_Insertion,1271,0.003924298
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Shaw_Removal,Best_Insertion,1271,0.003925371
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Shaw_Removal,Cheapest_Insertion,1275,0.003885603
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Shaw_Removal,Nearest_Insertion,1273,0.004035807
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Shaw_Removal,Random_Insertion,1278,0.003546286
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Shaw_Removal,farthest_insertion,1273,0.004086614
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Related_Removal,Basic_Insertion,1258,0.003896594
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Related_Removal,Regret_2_Heuristic,1271,0.003906608
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Related_Removal,Regret_3_Heuristic,1282,0.003982711
